"province","date_vaccine_administered","avaccine","cumulative_avaccine"
"Yukon","24-12-2020",0,0
"Yukon","25-12-2020",0,0
"Yukon","26-12-2020",0,0
"Yukon","27-12-2020",0,0
"Yukon","28-12-2020",0,0
"Yukon","29-12-2020",0,0
"Yukon","30-12-2020",0,0
"Yukon","31-12-2020",0,0
"Yukon","01-01-2021",0,0
"Yukon","02-01-2021",0,0
"Yukon","03-01-2021",0,0
"Yukon","04-01-2021",50,50
"Yukon","05-01-2021",0,50
"Yukon","06-01-2021",0,50
"Yukon","07-01-2021",260,310
"Yukon","08-01-2021",0,310
"Yukon","09-01-2021",0,310
"Yukon","10-01-2021",0,310
"Yukon","11-01-2021",185,495
"Yukon","12-01-2021",0,495
"Yukon","13-01-2021",190,685
"Yukon","14-01-2021",0,685
"Yukon","15-01-2021",499,1184
"Yukon","16-01-2021",0,1184
"Yukon","17-01-2021",0,1184
"Yukon","18-01-2021",163,1347
"Yukon","19-01-2021",0,1347
"Yukon","20-01-2021",1243,2590
"Yukon","21-01-2021",570,3160
"Yukon","22-01-2021",570,3730
"Yukon","23-01-2021",0,3730
"Yukon","24-01-2021",0,3730
"Yukon","25-01-2021",222,3952
"Yukon","26-01-2021",445,4397
"Yukon","27-01-2021",773,5170
"Yukon","28-01-2021",0,5170
"Yukon","29-01-2021",1326,6496
"Yukon","30-01-2021",0,6496
"Yukon","31-01-2021",0,6496
"Yukon","01-02-2021",889,7385
"Yukon","02-02-2021",0,7385
"Yukon","03-02-2021",1706,9091
"Yukon","04-02-2021",840,9931
"Yukon","05-02-2021",588,10519
"Yukon","06-02-2021",0,10519
"Yukon","07-02-2021",0,10519
"Yukon","08-02-2021",540,11059
"Yukon","09-02-2021",175,11234
"Yukon","10-02-2021",110,11344
"Yukon","11-02-2021",90,11434
"Yukon","12-02-2021",80,11514
"Yukon","13-02-2021",0,11514
